date,country,cases
2020-02-23,Japan,132
2020-02-24,Japan,144
2020-02-25,Japan,157
2020-02-26,Japan,164
2020-02-27,Japan,186
2020-02-28,Japan,210
2020-02-29,Japan,230
2020-03-01,Japan,239
2020-03-02,Japan,254
2020-03-03,Japan,268
2020-03-04,Japan,284
2020-03-05,Japan,317
2020-03-06,Japan,349
2020-03-07,Japan,408
2020-03-08,Japan,455
2020-03-09,Japan,488
2020-03-10,Japan,514
2020-03-11,Japan,568
2020-03-12,Japan,620
2020-01-20,Singapore,0
2020-01-21,Singapore,0
2020-01-23,Singapore,0
2020-01-24,Singapore,1
2020-01-25,Singapore,3
2020-01-26,Singapore,4
2020-01-27,Singapore,4
2020-01-28,Singapore,7
2020-01-29,Singapore,7
2020-01-30,Singapore,10
2020-01-31,Singapore,13
2020-02-01,Singapore,16
2020-02-02,Singapore,18
2020-02-03,Singapore,18
2020-02-04,Singapore,18
2020-02-05,Singapore,24
2020-02-06,Singapore,28
2020-02-07,Singapore,30
2020-02-08,Singapore,33
2020-02-09,Singapore,40
2020-02-10,Singapore,43
2020-02-11,Singapore,45
2020-02-12,Singapore,47
2020-02-13,Singapore,50
2020-02-14,Singapore,58
2020-02-15,Singapore,67
2020-02-16,Singapore,72
2020-02-17,Singapore,75
2020-02-18,Singapore,77
2020-02-19,Singapore,81
2020-02-20,Singapore,84
2020-02-21,Singapore,85
2020-02-22,Singapore,86
2020-02-23,Singapore,89
2020-02-24,Singapore,89
2020-02-25,Singapore,90
2020-02-26,Singapore,91
2020-02-27,Singapore,93
2020-02-28,Singapore,96
2020-02-29,Singapore,98
2020-03-01,Singapore,102
2020-03-02,Singapore,106
2020-03-03,Singapore,108
2020-03-04,Singapore,110
2020-03-05,Singapore,110
2020-03-06,Singapore,117
2020-03-07,Singapore,130
2020-03-08,Singapore,138
2020-03-09,Singapore,150
2020-03-10,Singapore,160
2020-03-11,Singapore,166
2020-03-12,Singapore,178
2020-01-20,Italy,0
2020-01-21,Italy,0
2020-01-23,Italy,0
2020-01-24,Italy,0
2020-01-25,Italy,0
2020-01-26,Italy,0
2020-01-27,Italy,0
2020-01-28,Italy,0
2020-01-29,Italy,0
2020-01-30,Italy,0
2020-01-31,Italy,2
2020-02-01,Italy,2
2020-02-02,Italy,2
2020-02-03,Italy,2
2020-02-04,Italy,2
2020-02-05,Italy,2
2020-02-06,Italy,2
2020-02-07,Italy,3
2020-02-08,Italy,3
2020-02-09,Italy,3
2020-02-10,Italy,3
2020-02-11,Italy,3
2020-02-12,Italy,3
2020-02-13,Italy,3
2020-02-14,Italy,3
2020-02-15,Italy,3
2020-02-16,Italy,3
2020-02-17,Italy,3
2020-02-18,Italy,3
2020-02-19,Italy,3
2020-02-20,Italy,3
2020-02-21,Italy,3
2020-02-22,Italy,9
2020-02-23,Italy,76
2020-02-24,Italy,124
2020-02-25,Italy,229
2020-02-26,Italy,322
2020-02-27,Italy,400
2020-02-28,Italy,650
2020-02-29,Italy,888
2020-03-01,Italy,1128
2020-03-02,Italy,1689
2020-03-03,Italy,2036
2020-03-04,Italy,2502
2020-03-05,Italy,3089
2020-03-06,Italy,3858
2020-03-07,Italy,4636
2020-03-08,Italy,5883
2020-03-09,Italy,7375
2020-03-10,Italy,9172
2020-03-11,Italy,10149
2020-03-12,Italy,12462
2020-01-20,Taiwan,NA
2020-01-21,Taiwan,1
2020-01-23,Taiwan,NA
2020-01-24,Taiwan,NA
2020-01-25,Taiwan,NA
2020-01-26,Taiwan,NA
2020-01-27,Taiwan,NA
2020-01-28,Taiwan,NA
2020-01-29,Taiwan,NA
2020-01-30,Taiwan,NA
2020-01-31,Taiwan,NA
2020-02-01,Taiwan,NA
2020-02-02,Taiwan,NA
2020-02-03,Taiwan,NA
2020-02-04,Taiwan,NA
2020-02-05,Taiwan,NA
2020-02-06,Taiwan,NA
2020-02-07,Taiwan,NA
2020-02-08,Taiwan,NA
2020-02-09,Taiwan,NA
2020-02-10,Taiwan,NA
2020-02-11,Taiwan,NA
2020-02-12,Taiwan,NA
2020-02-13,Taiwan,NA
2020-02-14,Taiwan,NA
2020-02-15,Taiwan,NA
2020-02-16,Taiwan,NA
2020-02-17,Taiwan,NA
2020-02-18,Taiwan,NA
2020-02-19,Taiwan,NA
2020-02-20,Taiwan,NA
2020-02-21,Taiwan,NA
2020-02-22,Taiwan,NA
2020-02-23,Taiwan,NA
2020-02-24,Taiwan,NA
2020-02-25,Taiwan,NA
2020-02-26,Taiwan,NA
2020-02-27,Taiwan,NA
2020-02-28,Taiwan,NA
2020-02-29,Taiwan,NA
2020-03-01,Taiwan,NA
2020-03-02,Taiwan,NA
2020-03-03,Taiwan,NA
2020-03-04,Taiwan,NA
2020-03-05,Taiwan,NA
2020-03-06,Taiwan,NA
2020-03-07,Taiwan,NA
2020-03-08,Taiwan,NA
2020-03-09,Taiwan,NA
2020-03-10,Taiwan,NA
2020-03-11,Taiwan,NA
2020-03-12,Taiwan,NA
2020-01-20,Hong Kong,NA
2020-01-21,Hong Kong,NA
2020-01-23,Hong Kong,1
2020-01-24,Hong Kong,2
2020-01-25,Hong Kong,5
2020-01-26,Hong Kong,5
2020-01-27,Hong Kong,8
2020-01-28,Hong Kong,8
2020-01-29,Hong Kong,8
2020-01-30,Hong Kong,10
2020-01-31,Hong Kong,12
2020-02-01,Hong Kong,13
2020-02-02,Hong Kong,14
2020-02-03,Hong Kong,15
2020-02-04,Hong Kong,15
2020-02-05,Hong Kong,18
2020-02-06,Hong Kong,21
2020-02-07,Hong Kong,24
2020-02-08,Hong Kong,26
2020-02-09,Hong Kong,26
2020-02-10,Hong Kong,36
2020-02-11,Hong Kong,42
2020-02-12,Hong Kong,49
2020-02-13,Hong Kong,50
2020-02-14,Hong Kong,53
2020-02-15,Hong Kong,56
2020-02-16,Hong Kong,56
2020-02-17,Hong Kong,57
2020-02-18,Hong Kong,60
2020-02-19,Hong Kong,62
2020-02-20,Hong Kong,65
2020-02-21,Hong Kong,68
2020-02-22,Hong Kong,68
2020-02-23,Hong Kong,70
2020-02-24,Hong Kong,74
2020-02-25,Hong Kong,81
2020-02-26,Hong Kong,85
2020-02-27,Hong Kong,91
2020-02-28,Hong Kong,93
2020-02-29,Hong Kong,94
2020-03-01,Hong Kong,95
2020-03-02,Hong Kong,98
2020-03-03,Hong Kong,101
2020-03-04,Hong Kong,100
2020-03-05,Hong Kong,104
2020-03-06,Hong Kong,104
2020-03-07,Hong Kong,107
2020-03-08,Hong Kong,109
2020-03-09,Hong Kong,114
2020-03-10,Hong Kong,115
2020-03-11,Hong Kong,120
2020-03-12,Hong Kong,129
2020-01-14,Wuhan,0
2020-01-15,Wuhan,41
2020-01-16,Wuhan,45
2020-01-17,Wuhan,62
2020-01-18,Wuhan,121
2020-01-19,Wuhan,198
2020-01-21,Wuhan,363
2020-01-22,Wuhan,444
2020-01-23,Wuhan,495
2020-01-24,Wuhan,572
2020-01-25,Wuhan,618
2020-01-26,Wuhan,698
2020-01-27,Wuhan,1590
2020-01-28,Wuhan,1905
2020-01-29,Wuhan,2261
2020-01-30,Wuhan,2639
2020-01-31,Wuhan,3215
2020-02-01,Wuhan,4109
2020-02-02,Wuhan,5142
2020-02-03,Wuhan,6384
2020-02-04,Wuhan,8351
2020-02-05,Wuhan,10117
2020-02-06,Wuhan,11618
2020-02-07,Wuhan,13603
2020-02-08,Wuhan,14982
2020-02-09,Wuhan,16902
2020-02-10,Wuhan,18454
2020-02-11,Wuhan,19558
2020-02-12,Wuhan,32994
2020-02-13,Wuhan,35991
2020-02-14,Wuhan,37914
2020-02-15,Wuhan,39462
2020-02-16,Wuhan,41152
2020-02-17,Wuhan,42752
2020-02-18,Wuhan,44412
2020-02-19,Wuhan,45027
2020-02-20,Wuhan,45346
2020-02-21,Wuhan,45660
2020-02-22,Wuhan,46201
2020-02-23,Wuhan,46607
2020-02-24,Wuhan,47071
2020-02-25,Wuhan,47441
2020-02-26,Wuhan,47824
2020-02-27,Wuhan,48137
2020-02-28,Wuhan,48557
2020-02-29,Wuhan,49122
2020-03-01,Wuhan,49315
2020-03-02,Wuhan,49426
